timestamp, utilization.gpu [%], utilization.memory [%], pstate
2025/12/30 17:59:59.738, 16 %, 2 %, P2
2025/12/30 18:00:00.738, 17 %, 2 %, P2
2025/12/30 18:00:01.738, 9 %, 2 %, P2
2025/12/30 18:00:02.738, 9 %, 2 %, P2
2025/12/30 18:00:03.738, 16 %, 2 %, P2
2025/12/30 18:00:04.739, 16 %, 2 %, P2
2025/12/30 18:00:05.739, 14 %, 2 %, P2
2025/12/30 18:00:06.739, 14 %, 2 %, P2
2025/12/30 18:00:07.739, 14 %, 2 %, P2
2025/12/30 18:00:08.739, 15 %, 2 %, P2
2025/12/30 18:00:09.739, 15 %, 2 %, P2
2025/12/30 18:00:10.739, 9 %, 2 %, P2
2025/12/30 18:00:11.740, 100 %, 97 %, P2
2025/12/30 18:00:12.740, 15 %, 2 %, P2
2025/12/30 18:00:13.740, 15 %, 2 %, P2
2025/12/30 18:00:14.740, 15 %, 2 %, P2
2025/12/30 18:00:15.740, 16 %, 2 %, P2
2025/12/30 18:00:16.740, 17 %, 2 %, P2
2025/12/30 18:00:17.740, 15 %, 2 %, P2
2025/12/30 18:00:18.741, 14 %, 2 %, P2
2025/12/30 18:00:19.741, 9 %, 2 %, P2
2025/12/30 18:00:20.741, 16 %, 2 %, P2
2025/12/30 18:00:21.741, 14 %, 2 %, P2
2025/12/30 18:00:22.742, 15 %, 2 %, P2
2025/12/30 18:00:23.742, 16 %, 2 %, P2
2025/12/30 18:00:24.743, 15 %, 2 %, P2
2025/12/30 18:00:25.743, 14 %, 2 %, P2
2025/12/30 18:00:26.743, 15 %, 2 %, P2
2025/12/30 18:00:27.743, 8 %, 2 %, P2
2025/12/30 18:00:28.743, 99 %, 82 %, P2
2025/12/30 18:00:29.744, 14 %, 2 %, P2
2025/12/30 18:00:30.744, 16 %, 2 %, P2
2025/12/30 18:00:31.745, 15 %, 2 %, P2
2025/12/30 18:00:32.745, 16 %, 2 %, P2
2025/12/30 18:00:33.745, 15 %, 2 %, P2
2025/12/30 18:00:34.746, 14 %, 2 %, P2
2025/12/30 18:00:35.746, 18 %, 2 %, P2
2025/12/30 18:00:36.746, 8 %, 2 %, P2
2025/12/30 18:00:37.746, 16 %, 2 %, P2
